id,proyecto,provincia,tecnologia,ronda,potencia_mw,latitud,longitud,avance,estado,periodo_max,geojson
PAH-700,P.A.H. LAS TUNAS,MENDOZA,PAH,RENOVAR RONDA 2,10,-33.37534167,-69.37278333,0.15,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-69.37278333,-33.37534167]}"
PAH-702,P.A.H. SALTO 7,MENDOZA,PAH,RENOVAR RONDA 2,1.2,-33.02686111,-68.88880556,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.88880556,-33.02686111]}"
PAH-705,P.A.H. SALTO DE LA LOMA,SAN JUAN,PAH,MATER,0.7,-30.221,-68.77116667,0.99,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.77116667,-30.221]}"
PAH-708,P.A.H. CRUZ DEL EJE,CÓRDOBA,PAH,RENOVAR RONDA 2,0.5,-30.74999167,-64.79606111,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.79606111,-30.74999167]}"
PAH-709,P.A.H. BOCA DEL RIO,CÓRDOBA,PAH,RENOVAR RONDA 2,0.5,-31.91350278,-65.11294167,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.11294167,-31.91350278]}"
PAH-710,P.A.H. PICHANAS,CÓRDOBA,PAH,RENOVAR RONDA 2,0.5,-30.90603611,-65.18553889,0.07,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-65.18553889,-30.90603611]}"
PAH-712,P.A.H. LUNLUNTA,MENDOZA,PAH,RENOVAR RONDA 2,6.34,-33.04349424,-68.79790238,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.79790238,-33.04349424]}"
PAH-714,P.A.H. SALTO 40,MENDOZA,PAH,RENOVAR RONDA 2,0.52,-32.90011944,-68.83596389,0,No iniciado,202111,"{""type"":""Point"",""coordinates"":[-68.83596389,-32.90011944]}"
PAH-715,P.A.H. SALTO 11,MENDOZA,PAH,RENOVAR RONDA 2,0.51,-33.00517555,-68.86850875,0.95,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.86850875,-33.00517555]}"
SFV-1001,P.S. LAVALLE,MENDOZA,SOLAR,RENOVAR RONDA 1.5,17.6,-32.71495,-68.51653611,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-68.51653611,-32.71495]}"
SFV-1002,P.S. LUJAN DE CUYO,MENDOZA,SOLAR,RENOVAR RONDA 1.5,22,-33.07156667,-69.05446111,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-69.05446111,-33.07156667]}"
SFV-1004,P.S. LA PAZ,MENDOZA,SOLAR,RENOVAR RONDA 1.5,14.08,-33.47521944,-67.56291667,0.03,En Construcción,202111,"{""type"":""Point"",""coordinates"":[-67.56291667,-33.47521944]}"
SFV-1005,P.S. PASIP,MENDOZA,SOLAR,RENOVAR RONDA 1.5,1.15,-33.03788056,-68.54194722,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.54194722,-33.03788056]}"
